"row_type","media_id","source","media_type","library_media_type","title","original_title","localized_title","synopsis","source_url","image","season_number","episode_number","provider_episode_id","runtime_minutes","number_of_pages","release_datetime","genres","implied_genres","country","languages","platforms","format","status","studios","themes","authors","publishers","isbn","source_material","creators","runtime","provider_popularity","provider_rating","provider_rating_count","trakt_rating","trakt_rating_count","imdb_rating","imdb_rating_count","mal_rating","mal_rating_count","igdb_user_rating","igdb_user_rating_count","trakt_popularity_score","trakt_popularity_rank","trakt_popularity_fetched_at","provider_keywords","provider_certification","provider_collection_id","provider_collection_name","metadata_refreshed_at","provider_external_ids","provider_game_lengths","provider_game_lengths_source","provider_game_lengths_match","provider_game_lengths_fetched_at","metadata_fetched_at","calendar_checked_at","manual_metadata","provider_metadata_status","local_season_episode_count","provider_episode_count","series_name","series_position","metadata_migration_pinned_at","score","status","notes","order_archived","rewatch_started_at","start_date","end_date","dropped","progress","migrated_at","played_up_to_seconds","last_seen_status","position_updated_at","is_end_date_inferred","created_at","progressed_at","list_uid","list_name","list_description","list_tags","list_visibility","list_allow_recommendations","list_include_notes","list_source","list_source_id","list_is_smart","list_smart_media_types","list_smart_excluded_media_types","list_smart_filters","list_item_date_added","collection_format","collection_resolution","collection_hdr","collection_is_3d","collection_audio_codec","collection_audio_channels","collection_bitrate","collection_collected_at","collection_purchase_price","collection_purchase_location","collection_custom_fields","collection_source_identity","item_tags"
"list","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sample-list-movie","Sample Movies","All five sample sample movies","","private","","","","","","","","","","","","","","","","","","","","","",""
"media","680","tmdb","movie","","Pulp Fiction","","","","","https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"list_item","680","tmdb","movie","","Pulp Fiction","","","","","https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sample-list-movie","Sample Movies","","","","","","","","","","","","","","","","","","","","","","","","",""
"media","10494","tmdb","movie","","Perfect Blue","","","","","https://image.tmdb.org/t/p/w500/6WTiOCfDPP8XV4jqfloiVWf7KHq.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0","Completed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"list_item","10494","tmdb","movie","","Perfect Blue","","","","","https://image.tmdb.org/t/p/w500/6WTiOCfDPP8XV4jqfloiVWf7KHq.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sample-list-movie","Sample Movies","","","","","","","","","","","","","","","","","","","","","","","","",""
"media","27205","tmdb","movie","","Inception","","","","","https://image.tmdb.org/t/p/w500/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","In progress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"list_item","27205","tmdb","movie","","Inception","","","","","https://image.tmdb.org/t/p/w500/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sample-list-movie","Sample Movies","","","","","","","","","","","","","","","","","","","","","","","","",""
"media","155","tmdb","movie","","The Dark Knight","","","","","https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Planning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"list_item","155","tmdb","movie","","The Dark Knight","","","","","https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sample-list-movie","Sample Movies","","","","","","","","","","","","","","","","","","","","","","","","",""
"media","238","tmdb","movie","","The Godfather","","","","","https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dropped","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"list_item","238","tmdb","movie","","The Godfather","","","","","https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sample-list-movie","Sample Movies","","","","","","","","","","","","","","","","","","","","","","","","",""
"collection","680","tmdb","movie","","Pulp Fiction","","","","","https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4K Blu-ray","4K","Dolby Vision","","Dolby Atmos","7.1","","","","","","",""
